Model_Type,Dataset,Mutation_Level,Mutate_time,Number_of_Mutants,Mutation_Score,MS_time,Total_time
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.60702014,708,0.267090395,410.0574265,410.6644466
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612435818,708,0.267090395,409.0352027,409.6476386
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.609774351,708,0.267090395,409.216032,409.8258064
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.616553068,708,0.267090395,409.1811881,409.7977412
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.605797768,708,0.267090395,407.8308837,408.4366815
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.614285469,708,0.267090395,407.5824208,408.1967063
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.611508608,708,0.267090395,409.8132093,410.4247179
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.603925228,708,0.267090395,410.6996653,411.3035905
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.613877296,708,0.267090395,410.6139822,411.2278595
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.615608454,708,0.267090395,410.6645424,411.2801509
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.613801003,708,0.267090395,408.5914383,409.2052393
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.61433506,708,0.267090395,409.6336904,410.2480254
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.607702017,708,0.267090395,408.1254327,408.7331347
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.608082771,708,0.267090395,408.5974174,409.2055001
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.611076593,708,0.267090395,409.9090953,410.5201719
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612762213,708,0.267090395,408.4160194,409.0287817
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.613122702,708,0.267090395,406.5541387,407.1672614
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.614958525,708,0.267090395,409.2033095,409.8182681
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612629175,708,0.267090395,408.2785161,408.8911452
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.610128164,708,0.267090395,409.6815748,410.291703
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.615729094,708,0.267090395,410.4571807,411.0729098
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.615373611,708,0.267090395,409.7725759,410.3879495
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.61063385,708,0.267090395,408.3923817,409.0030155
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.620903969,708,0.267090395,411.1225843,411.7434883
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612999439,708,0.267090395,409.0730171,409.6860166
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.617753267,708,0.267090395,409.6787388,410.2964921
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.612638712,708,0.267090395,409.1012206,409.7138593
examples/mnist/lenet5-mnist.keras,mnist,neuron,0.611962557,708,0.267090395,408.2350914,408.847054
