Model_Type,Dataset,Mutable_Layers,Mutation_Level,Mutate_time,Number_of_Mutants,ParHAC_Threshold,Number_of_Clusters,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.655632496,759,0.9,737,2,1,1.029850746,6.583324194,0.631541571,703.3863847,806.8370647
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.67086339,759,0.9,733,2,1,1.035470668,6.516951084,0.634054408,706.8800364,808.2316561
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.676128149,759,0.99,759,1,1,1,6.63558054,0.627062165,724.3283741,818.7735593
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.668852568,759,0.99,759,1,1,1,6.225490808,0.627062165,716.5996978,808.9903467
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.663380623,759,0.99,759,1,1,1,6.75565052,0.627062165,722.2987156,816.6583726
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.652239084,759,0.99,759,1,1,1,6.53218174,0.627062165,731.3885958,802.2676303
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.655482292,759,0.99,759,1,1,1,6.629544258,0.627062165,723.0496778,806.6742914
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.667629957,759,0.99,759,1,1,1,6.576413631,0.627062165,720.306844,802.8927536
examples/fmnist/fcnn-fmnist.keras,fmnist,3,cluster,0.440722942,480,0.1,19,150,1,25.26315789,7.297363281,0.6,1.543231726,251.0418932
examples/fmnist/fcnn-fmnist.keras,fmnist,3,cluster,0.445902348,480,0.1,20,150,1,24,7.298419714,0.766666667,1.54155755,252.3698545
examples/fmnist/fcnn-fmnist.keras,fmnist,3,cluster,0.448609829,480,0.1,19,150,1,25.26315789,7.40580678,0.433333333,1.551228046,255.4539404
examples/fmnist/fcnn-fmnist.keras,fmnist,3,cluster,0.448052168,480,0.1,19,150,1,25.26315789,7.439967632,0.866666667,1.56384182,252.4802945
